emoji,name,group,sub_group,codepoints,name_spanish,name_spanish_formatted
🤘🏾,sign of the horns: medium-dark skin tone,People & Body,hand-fingers-partial,1F918 1F3FE,signo de los cuernos  tono de piel medio-oscuro,[signo de los cuernos  tono de piel medio-oscuro]
🤘🏿,sign of the horns: dark skin tone,People & Body,hand-fingers-partial,1F918 1F3FF,signo de los cuernos  tono de piel oscura,[signo de los cuernos  tono de piel oscura]
🤙,call me hand,People & Body,hand-fingers-partial,1F919,llamame mano,[llamame mano]
🤙🏻,call me hand: light skin tone,People & Body,hand-fingers-partial,1F919 1F3FB,llamame mano  tono de piel clara,[llamame mano  tono de piel clara]
🤙🏼,call me hand: medium-light skin tone,People & Body,hand-fingers-partial,1F919 1F3FC,llamame mano  medio-ligero tono de la piel,[llamame mano  medio-ligero tono de la piel]
🤙🏽,call me hand: medium skin tone,People & Body,hand-fingers-partial,1F919 1F3FD,llamame mano  tono de piel medio,[llamame mano  tono de piel medio]
🤙🏾,call me hand: medium-dark skin tone,People & Body,hand-fingers-partial,1F919 1F3FE,llamame mano  tono de piel medio-oscuro,[llamame mano  tono de piel medio-oscuro]
🤙🏿,call me hand: dark skin tone,People & Body,hand-fingers-partial,1F919 1F3FF,llamame mano  tono de piel oscura,[llamame mano  tono de piel oscura]
👈,backhand index pointing left,People & Body,hand-single-finger,1F448,reves indice apuntando a la izquierda,[reves indice apuntando a la izquierda]
👈🏻,backhand index pointing left: light skin tone,People & Body,hand-single-finger,1F448 1F3FB,reves indice apuntando a la izquierda  el tono de piel clara,[reves indice apuntando a la izquierda  el tono de piel clara]
👈🏼,backhand index pointing left: medium-light skin tone,People & Body,hand-single-finger,1F448 1F3FC,reves indice apuntando a la izquierda  medio-ligero tono de la piel,[reves indice apuntando a la izquierda  medio-ligero tono de la piel]
👈🏽,backhand index pointing left: medium skin tone,People & Body,hand-single-finger,1F448 1F3FD,reves indice apuntando a la izquierda  tono de piel medio,[reves indice apuntando a la izquierda  tono de piel medio]
👈🏾,backhand index pointing left: medium-dark skin tone,People & Body,hand-single-finger,1F448 1F3FE,reves indice apuntando a la izquierda  el tono de piel medio-oscuro,[reves indice apuntando a la izquierda  el tono de piel medio-oscuro]
👈🏿,backhand index pointing left: dark skin tone,People & Body,hand-single-finger,1F448 1F3FF,reves indice apuntando a la izquierda  el tono de piel oscura,[reves indice apuntando a la izquierda  el tono de piel oscura]
👉,backhand index pointing right,People & Body,hand-single-finger,1F449,reves indice apunta hacia la derecha,[reves indice apunta hacia la derecha]
👉🏻,backhand index pointing right: light skin tone,People & Body,hand-single-finger,1F449 1F3FB,indice de reves senala a la derecha  tono de piel clara,[indice de reves senala a la derecha  tono de piel clara]
👉🏼,backhand index pointing right: medium-light skin tone,People & Body,hand-single-finger,1F449 1F3FC,reves indice apunta hacia la derecha  tono de piel medio-luz,[reves indice apunta hacia la derecha  tono de piel medio-luz]
👉🏽,backhand index pointing right: medium skin tone,People & Body,hand-single-finger,1F449 1F3FD,reves indice apunta hacia la derecha  tono de piel medio,[reves indice apunta hacia la derecha  tono de piel medio]
👉🏾,backhand index pointing right: medium-dark skin tone,People & Body,hand-single-finger,1F449 1F3FE,reves indice apunta hacia la derecha  el tono de piel medio-oscuro,[reves indice apunta hacia la derecha  el tono de piel medio-oscuro]
👉🏿,backhand index pointing right: dark skin tone,People & Body,hand-single-finger,1F449 1F3FF,reves indice apunta hacia la derecha  tono de piel oscura,[reves indice apunta hacia la derecha  tono de piel oscura]
👆,backhand index pointing up,People & Body,hand-single-finger,1F446,indice de reves hacia arriba,[indice de reves hacia arriba]
👆🏻,backhand index pointing up: light skin tone,People & Body,hand-single-finger,1F446 1F3FB,indice de reves hacia arriba  tono de piel clara,[indice de reves hacia arriba  tono de piel clara]
👆🏼,backhand index pointing up: medium-light skin tone,People & Body,hand-single-finger,1F446 1F3FC,indice de reves hacia arriba  medio-ligero tono de la piel,[indice de reves hacia arriba  medio-ligero tono de la piel]
👆🏽,backhand index pointing up: medium skin tone,People & Body,hand-single-finger,1F446 1F3FD,indice de reves hacia arriba  tono de piel medio,[indice de reves hacia arriba  tono de piel medio]
👆🏾,backhand index pointing up: medium-dark skin tone,People & Body,hand-single-finger,1F446 1F3FE,indice de reves hacia arriba  tono de piel medio-oscuro,[indice de reves hacia arriba  tono de piel medio-oscuro]
👆🏿,backhand index pointing up: dark skin tone,People & Body,hand-single-finger,1F446 1F3FF,indice de reves hacia arriba  tono de piel oscura,[indice de reves hacia arriba  tono de piel oscura]
🖕,middle finger,People & Body,hand-single-finger,1F595,dedo medio,[dedo medio]
🖕🏻,middle finger: light skin tone,People & Body,hand-single-finger,1F595 1F3FB,dedo medio  tono de piel clara,[dedo medio  tono de piel clara]
🖕🏼,middle finger: medium-light skin tone,People & Body,hand-single-finger,1F595 1F3FC,dedo medio  medio-luz tono de la piel,[dedo medio  medio-luz tono de la piel]
🖕🏽,middle finger: medium skin tone,People & Body,hand-single-finger,1F595 1F3FD,dedo medio  tono de piel medio,[dedo medio  tono de piel medio]
🖕🏾,middle finger: medium-dark skin tone,People & Body,hand-single-finger,1F595 1F3FE,dedo medio  tono de piel medio-oscuro,[dedo medio  tono de piel medio-oscuro]
🖕🏿,middle finger: dark skin tone,People & Body,hand-single-finger,1F595 1F3FF,dedo medio  tono de piel oscura,[dedo medio  tono de piel oscura]
👇,backhand index pointing down,People & Body,hand-single-finger,1F447,reves indice apuntando hacia abajo,[reves indice apuntando hacia abajo]
👇🏻,backhand index pointing down: light skin tone,People & Body,hand-single-finger,1F447 1F3FB,reves indice apuntando hacia abajo  tono de piel clara,[reves indice apuntando hacia abajo  tono de piel clara]
👇🏼,backhand index pointing down: medium-light skin tone,People & Body,hand-single-finger,1F447 1F3FC,reves indice apuntando hacia abajo  medio-ligero tono de la piel,[reves indice apuntando hacia abajo  medio-ligero tono de la piel]
👇🏽,backhand index pointing down: medium skin tone,People & Body,hand-single-finger,1F447 1F3FD,reves indice apuntando hacia abajo  tono de piel medio,[reves indice apuntando hacia abajo  tono de piel medio]
👇🏾,backhand index pointing down: medium-dark skin tone,People & Body,hand-single-finger,1F447 1F3FE,reves indice apuntando hacia abajo  el tono de piel medio-oscuro,[reves indice apuntando hacia abajo  el tono de piel medio-oscuro]
👇🏿,backhand index pointing down: dark skin tone,People & Body,hand-single-finger,1F447 1F3FF,reves indice apuntando hacia abajo  tono de piel oscura,[reves indice apuntando hacia abajo  tono de piel oscura]
☝️,index pointing up,People & Body,hand-single-finger,261D FE0F,indice apuntando hacia arriba,[indice apuntando hacia arriba]
☝,index pointing up,People & Body,hand-single-finger,261D,indice apuntando hacia arriba,[indice apuntando hacia arriba]
☝🏻,index pointing up: light skin tone,People & Body,hand-single-finger,261D 1F3FB,indice apuntando hacia arriba  tono de piel clara,[indice apuntando hacia arriba  tono de piel clara]
☝🏼,index pointing up: medium-light skin tone,People & Body,hand-single-finger,261D 1F3FC,tono de piel medio-luz  indice apuntando hacia arriba,[tono de piel medio-luz  indice apuntando hacia arriba]
☝🏽,index pointing up: medium skin tone,People & Body,hand-single-finger,261D 1F3FD,indice apuntando hacia arriba  tono de piel medio,[indice apuntando hacia arriba  tono de piel medio]
☝🏾,index pointing up: medium-dark skin tone,People & Body,hand-single-finger,261D 1F3FE,indice apuntando hacia arriba  tono de piel medio-oscuro,[indice apuntando hacia arriba  tono de piel medio-oscuro]
☝🏿,index pointing up: dark skin tone,People & Body,hand-single-finger,261D 1F3FF,indice apuntando hacia arriba  tono de piel oscura,[indice apuntando hacia arriba  tono de piel oscura]
👍,thumbs up,People & Body,hand-fingers-closed,1F44D,pulgares hacia arriba,[pulgares hacia arriba]
👍🏻,thumbs up: light skin tone,People & Body,hand-fingers-closed,1F44D 1F3FB,bueno  tono de piel clara,[bueno  tono de piel clara]
👍🏼,thumbs up: medium-light skin tone,People & Body,hand-fingers-closed,1F44D 1F3FC,pulgar hacia arriba  tono de la piel de mediano luz,[pulgar hacia arriba  tono de la piel de mediano luz]
👍🏽,thumbs up: medium skin tone,People & Body,hand-fingers-closed,1F44D 1F3FD,bueno  tono de piel medio,[bueno  tono de piel medio]
👍🏾,thumbs up: medium-dark skin tone,People & Body,hand-fingers-closed,1F44D 1F3FE,bueno  tono de piel medio-oscuro,[bueno  tono de piel medio-oscuro]
👍🏿,thumbs up: dark skin tone,People & Body,hand-fingers-closed,1F44D 1F3FF,bueno  tono de piel oscura,[bueno  tono de piel oscura]
👎,thumbs down,People & Body,hand-fingers-closed,1F44E,pulgares abajo,[pulgares abajo]
👎🏻,thumbs down: light skin tone,People & Body,hand-fingers-closed,1F44E 1F3FB,malo  tono de piel clara,[malo  tono de piel clara]
👎🏼,thumbs down: medium-light skin tone,People & Body,hand-fingers-closed,1F44E 1F3FC,malo  tono de la piel de mediano luz,[malo  tono de la piel de mediano luz]
👎🏽,thumbs down: medium skin tone,People & Body,hand-fingers-closed,1F44E 1F3FD,malo  tono de piel medio,[malo  tono de piel medio]
👎🏾,thumbs down: medium-dark skin tone,People & Body,hand-fingers-closed,1F44E 1F3FE,malo  tono de piel medio-oscuro,[malo  tono de piel medio-oscuro]
👎🏿,thumbs down: dark skin tone,People & Body,hand-fingers-closed,1F44E 1F3FF,malo  tono de piel oscura,[malo  tono de piel oscura]
✊,raised fist,People & Body,hand-fingers-closed,270A,puno en alto,[puno en alto]
✊🏻,raised fist: light skin tone,People & Body,hand-fingers-closed,270A 1F3FB,puno en alto  tono de piel clara,[puno en alto  tono de piel clara]
✊🏼,raised fist: medium-light skin tone,People & Body,hand-fingers-closed,270A 1F3FC,puno levantado  medio-luz tono de la piel,[puno levantado  medio-luz tono de la piel]
✊🏽,raised fist: medium skin tone,People & Body,hand-fingers-closed,270A 1F3FD,puno levantado  tono de piel medio,[puno levantado  tono de piel medio]
✊🏾,raised fist: medium-dark skin tone,People & Body,hand-fingers-closed,270A 1F3FE,puno levantado  tono de piel medio-oscuro,[puno levantado  tono de piel medio-oscuro]
✊🏿,raised fist: dark skin tone,People & Body,hand-fingers-closed,270A 1F3FF,puno en alto  tono de piel oscura,[puno en alto  tono de piel oscura]
👊,oncoming fist,People & Body,hand-fingers-closed,1F44A,puno en direccion contraria,[puno en direccion contraria]
👊🏻,oncoming fist: light skin tone,People & Body,hand-fingers-closed,1F44A 1F3FB,puno en direccion contraria  tono de piel clara,[puno en direccion contraria  tono de piel clara]
👊🏼,oncoming fist: medium-light skin tone,People & Body,hand-fingers-closed,1F44A 1F3FC,puno en direccion contraria  medio-ligero tono de la piel,[puno en direccion contraria  medio-ligero tono de la piel]
👊🏽,oncoming fist: medium skin tone,People & Body,hand-fingers-closed,1F44A 1F3FD,puno en direccion contraria  tono de piel medio,[puno en direccion contraria  tono de piel medio]
👊🏾,oncoming fist: medium-dark skin tone,People & Body,hand-fingers-closed,1F44A 1F3FE,puno en direccion contraria  tono de piel medio-oscuro,[puno en direccion contraria  tono de piel medio-oscuro]
👊🏿,oncoming fist: dark skin tone,People & Body,hand-fingers-closed,1F44A 1F3FF,puno en direccion contraria  tono de piel oscura,[puno en direccion contraria  tono de piel oscura]
🤛,left-facing fist,People & Body,hand-fingers-closed,1F91B,encarado a la izquierda el puno,[encarado a la izquierda el puno]
🤛🏻,left-facing fist: light skin tone,People & Body,hand-fingers-closed,1F91B 1F3FB,puno izquierdo frente  tono de piel clara,[puno izquierdo frente  tono de piel clara]
🤛🏼,left-facing fist: medium-light skin tone,People & Body,hand-fingers-closed,1F91B 1F3FC,encarado a la izquierda puno  tono de la piel de mediano luz,[encarado a la izquierda puno  tono de la piel de mediano luz]
🤛🏽,left-facing fist: medium skin tone,People & Body,hand-fingers-closed,1F91B 1F3FD,encarado a la izquierda puno  tono de piel medio,[encarado a la izquierda puno  tono de piel medio]
🤛🏾,left-facing fist: medium-dark skin tone,People & Body,hand-fingers-closed,1F91B 1F3FE,encarado a la izquierda puno  tono de piel medio-oscuro,[encarado a la izquierda puno  tono de piel medio-oscuro]
🤛🏿,left-facing fist: dark skin tone,People & Body,hand-fingers-closed,1F91B 1F3FF,encarado a la izquierda puno  tono de piel oscura,[encarado a la izquierda puno  tono de piel oscura]
🤜,right-facing fist,People & Body,hand-fingers-closed,1F91C,puno derecho con orientacion,[puno derecho con orientacion]
🤜🏻,right-facing fist: light skin tone,People & Body,hand-fingers-closed,1F91C 1F3FB,haga frente a puno  tono de piel clara,[haga frente a puno  tono de piel clara]
🤜🏼,right-facing fist: medium-light skin tone,People & Body,hand-fingers-closed,1F91C 1F3FC,tono de piel medio-luz  puno derecho con orientacion,[tono de piel medio-luz  puno derecho con orientacion]
🤜🏽,right-facing fist: medium skin tone,People & Body,hand-fingers-closed,1F91C 1F3FD,derecho que mira hacia puno  tono de piel medio,[derecho que mira hacia puno  tono de piel medio]
🤜🏾,right-facing fist: medium-dark skin tone,People & Body,hand-fingers-closed,1F91C 1F3FE,derecho que mira hacia puno  tono de piel medio-oscuro,[derecho que mira hacia puno  tono de piel medio-oscuro]
🤜🏿,right-facing fist: dark skin tone,People & Body,hand-fingers-closed,1F91C 1F3FF,puno derecho con orientacion  tono de piel oscura,[puno derecho con orientacion  tono de piel oscura]
👏,clapping hands,People & Body,hands,1F44F,aplaudir,[aplaudir]
👏🏻,clapping hands: light skin tone,People & Body,hands,1F44F 1F3FB,manos aplaudiendo  tono de piel clara,[manos aplaudiendo  tono de piel clara]
👏🏼,clapping hands: medium-light skin tone,People & Body,hands,1F44F 1F3FC,tono de piel medio-luz  las manos aplaudiendo,[tono de piel medio-luz  las manos aplaudiendo]
👏🏽,clapping hands: medium skin tone,People & Body,hands,1F44F 1F3FD,manos aplaudiendo  tono de piel medio,[manos aplaudiendo  tono de piel medio]
👏🏾,clapping hands: medium-dark skin tone,People & Body,hands,1F44F 1F3FE,las manos aplaudiendo  tono de piel medio-oscuro,[las manos aplaudiendo  tono de piel medio-oscuro]
👏🏿,clapping hands: dark skin tone,People & Body,hands,1F44F 1F3FF,manos aplaudiendo  tono de piel oscura,[manos aplaudiendo  tono de piel oscura]
🙌,raising hands,People & Body,hands,1F64C,que levanta las manos,[que levanta las manos]
🙌🏻,raising hands: light skin tone,People & Body,hands,1F64C 1F3FB,levantando las manos  tono de piel clara,[levantando las manos  tono de piel clara]
🙌🏼,raising hands: medium-light skin tone,People & Body,hands,1F64C 1F3FC,tono de piel medio-luz  levanta las manos,[tono de piel medio-luz  levanta las manos]
🙌🏽,raising hands: medium skin tone,People & Body,hands,1F64C 1F3FD,levantando las manos  tono de piel medio,[levantando las manos  tono de piel medio]
🙌🏾,raising hands: medium-dark skin tone,People & Body,hands,1F64C 1F3FE,levantando las manos  el tono de piel medio-oscuro,[levantando las manos  el tono de piel medio-oscuro]
🙌🏿,raising hands: dark skin tone,People & Body,hands,1F64C 1F3FF,levantando las manos  tono de piel oscura,[levantando las manos  tono de piel oscura]
👐,open hands,People & Body,hands,1F450,manos abiertas,[manos abiertas]
👐🏻,open hands: light skin tone,People & Body,hands,1F450 1F3FB,manos abiertas  tono de piel clara,[manos abiertas  tono de piel clara]
👐🏼,open hands: medium-light skin tone,People & Body,hands,1F450 1F3FC,manos abiertas  medio-ligero tono de la piel,[manos abiertas  medio-ligero tono de la piel]
👐🏽,open hands: medium skin tone,People & Body,hands,1F450 1F3FD,manos abiertas  tono de piel medio,[manos abiertas  tono de piel medio]
👐🏾,open hands: medium-dark skin tone,People & Body,hands,1F450 1F3FE,manos abiertas  tono de piel medio-oscuro,[manos abiertas  tono de piel medio-oscuro]
👐🏿,open hands: dark skin tone,People & Body,hands,1F450 1F3FF,manos abiertas  tono de piel oscura,[manos abiertas  tono de piel oscura]
🤲,palms up together,People & Body,hands,1F932,las palmas hacia arriba junto,[las palmas hacia arriba junto]
